record_id,company_name,car_name,powertrain_type,horsepower_hp,price_usd,top_speed_kmh
d7db6986-cdee-491e-aec5-7e958c39037f,Toyota,RAV4,Hybrid,203,30000.0,180
0a083dc5-d457-47ca-87c0-75e915f904ec,BMW,i4,EV,335,56000.0,190
612b4fdf-c8cf-43cb-aa08-faad1aad6491,Ford,F-150,ICE,400,,160
0d8dd2fe-2956-481b-b3d4-b99ac95cd194,Kia,EV6,EV,320,48000.0,192
8c56b9f1-4df1-470e-b928-9298f481e3aa,Mazda,MX-5,ICE,181,29000.0,215
63137cb0-bc54-4ce8-9246-ee71bb25e384,Toyota,Corolla,ICE,140,25000.0,180
0d5c5f87-79a1-4b8d-b029-9cd7d03f0a54,Honda,Civic,ICE,158,27500.0,200
adb4aa4c-0f79-4ed0-b472-3bae0a77a7b3,Tesla,Model 3,EV,283,42000.0,225
141050c3-3445-4915-ac1b-5e35a16ce18f,BMW,M3,ICE,473,75000.0,290
333e7b82-a345-4e91-830c-4098dab5b7d3,Ford,Mustang GT,ICE,450,45000.0,250
3af558b0-3f97-4045-8661-3ac8172bc443,Toyota,Prius,Hybrid,121,28000.0,180
05a4654c-2fb3-4887-a1e6-5b7b3ec002d7,Porsche,911 Turbo,ICE,572,180000.0,320
dcd6e80c-6da6-4293-a622-d8f050126998,Nissan,Leaf,EV,147,29000.0,157
19d0770b-7bca-4a82-b11a-d37f17ca8be1,Hyundai,Ioniq 5,EV,320,44000.0,185
a903f90e-9bd7-42bb-b574-bb095f5e1700,Chevrolet,Corvette,ICE,495,65000.0,312
b489b39a-0598-4892-bc45-7eafa2a57455,Toyota,RAV4,Hybrid,203,30000.0,180
5b97eb8a-be5c-4a2c-98ab-2512074592c2,BMW,i4,EV,335,56000.0,190
6a1ca5ee-37ed-4ae6-b155-f5c84de94a48,Ford,F-150,ICE,400,,160
4b95a941-ca4c-447b-ad67-a958c771139b,Kia,EV6,EV,320,48000.0,192
f13b7323-606e-452c-b723-0ea0b72c3bf5,Mazda,MX-5,ICE,181,29000.0,215
612f3e97-1ec3-4073-9295-b6e4dd76d2c0,Toyota,Prius,Hybrid,121,28000.0,180
5fc7ef76-0310-4edd-8fce-6bbf735f6e66,Porsche,911 Turbo,ICE,572,180000.0,320
f52e8b75-5025-410e-9cdb-3c30097b74cc,Nissan,Leaf,EV,147,29000.0,157
057dc1c7-28e4-4266-82f7-4a350cbae4fd,Hyundai,Ioniq 5,EV,320,44000.0,185
93136531-95e9-4abe-94f1-9c02d1cf0200,Chevrolet,Corvette,ICE,495,65000.0,312
6d21e31c-d222-465c-a484-04bdd2a20d37,Toyota,RAV4,Hybrid,203,30000.0,180
8f6c66a4-823d-42b7-80ba-2585cdf800c1,BMW,i4,EV,335,56000.0,190
0a2c1cbe-ce8f-4f3d-b244-7bade5a94534,Ford,F-150,ICE,400,,160
b8ae8111-1569-49d7-b950-3643577fdd15,Kia,EV6,EV,320,48000.0,192
963887d1-926a-4394-8563-7f651519cb7a,Mazda,MX-5,ICE,181,29000.0,215
abb666eb-9cab-48ad-b301-5f39638898e6,Toyota,Corolla,ICE,140,25000.0,180
977e5bd0-1999-4c8c-a490-57f4900a7d5e,Honda,Civic,ICE,158,27500.0,200
4eb0d6d0-5430-492d-8947-0b27b3163781,Tesla,Model 3,EV,283,42000.0,225
8d0e96ff-bd47-44c9-bf92-b7c4ddbe2949,BMW,M3,ICE,473,75000.0,290
3beca948-4663-40c1-8e34-67abe0bf63d7,Ford,Mustang GT,ICE,450,45000.0,250
1475d0a7-9939-4db5-88f8-802bdf95d5b9,Toyota,Prius,Hybrid,121,28000.0,180
788764d7-59d3-445d-a5f8-b51e67076c30,Porsche,911 Turbo,ICE,572,180000.0,320
8c884a28-1a64-4a2b-9eff-c0393102e1e9,Nissan,Leaf,EV,147,29000.0,157
885221c3-0773-45dc-930e-3b2b48f2d470,Hyundai,Ioniq 5,EV,320,44000.0,185
